strategy,model,task_id,status,pass_1st_round,rounds_to_pass,total_rounds,failed_test
baseline,deepseek-coder:1.3b,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,6,fail_assert,False,,1,"assert differ_At_One_Bit_Pos(13,9) == True"
baseline,deepseek-coder:1.3b,8,pass,True,1,1,
baseline,deepseek-coder:1.3b,11,pass,True,1,1,
baseline,deepseek-coder:1.3b,16,pass,True,1,1,
baseline,deepseek-coder:1.3b,18,pass,True,1,1,
baseline,deepseek-coder:1.3b,57,pass,True,1,1,
baseline,deepseek-coder:1.3b,59,fail_assert,False,,1,assert is_octagonal(5) == 65
baseline,deepseek-coder:1.3b,79,pass,True,1,1,
baseline,deepseek-coder:1.3b,86,fail_assert,False,,1,assert centered_hexagonal_number(10) == 271
baseline,deepseek-coder:1.3b,88,pass,True,1,1,
baseline,deepseek-coder:1.3b,90,pass,True,1,1,
baseline,deepseek-coder:1.3b,92,fail_assert,False,,1,assert is_undulating(1212121) == True
baseline,deepseek-coder:1.3b,93,pass,True,1,1,
baseline,deepseek-coder:1.3b,97,pass,True,1,1,
baseline,deepseek-coder:1.3b,99,pass,True,1,1,
baseline,deepseek-coder:1.3b,105,pass,True,1,1,
baseline,deepseek-coder:1.3b,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,109,pass,True,1,1,
baseline,deepseek-coder:1.3b,111,pass,True,1,1,
baseline,deepseek-coder:1.3b,113,pass,True,1,1,
baseline,deepseek-coder:1.3b,116,pass,True,1,1,
baseline,deepseek-coder:1.3b,119,pass,True,1,1,
baseline,deepseek-coder:1.3b,125,fail_assert,False,,1,"assert find_length(""11000010001"") == 6"
baseline,deepseek-coder:1.3b,133,pass,True,1,1,
baseline,deepseek-coder:1.3b,135,fail_assert,False,,1,assert hexagonal_num(10) == 190
baseline,deepseek-coder:1.3b,137,pass,True,1,1,
baseline,deepseek-coder:1.3b,139,pass,True,1,1,
baseline,deepseek-coder:1.3b,140,pass,True,1,1,
baseline,deepseek-coder:1.3b,141,pass,True,1,1,
baseline,deepseek-coder:1.3b,142,pass,True,1,1,
baseline,deepseek-coder:1.3b,145,pass,True,1,1,
baseline,deepseek-coder:1.3b,162,pass,True,1,1,
baseline,deepseek-coder:1.3b,163,fail_assert,False,,1,"assert math.isclose(area_polygon(4, 20), 400., rel_tol=0.001)"
baseline,deepseek-coder:1.3b,166,pass,True,1,1,
baseline,deepseek-coder:1.3b,167,pass,True,1,1,
baseline,deepseek-coder:1.3b,168,pass,True,1,1,
baseline,deepseek-coder:1.3b,222,pass,True,1,1,
baseline,deepseek-coder:1.3b,226,pass,True,1,1,
baseline,deepseek-coder:1.3b,232,pass,True,1,1,
baseline,deepseek-coder:1.3b,235,fail_assert,False,,1,assert even_bit_set_number(10) == 10
baseline,deepseek-coder:1.3b,237,fail_assert,False,,1,"assert check_occurences([(3, 1), (1, 3), (2, 5), (5, 2), (6, 3)] ) == {(1, 3): 2, (2, 5): 2, (3, 6): 1}"
baseline,deepseek-coder:1.3b,239,fail_assert,False,,1,"assert get_total_number_of_sequences(10, 4) == 4"
baseline,deepseek-coder:1.3b,248,pass,True,1,1,
baseline,deepseek-coder:1.3b,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,257,pass,True,1,1,
baseline,deepseek-coder:1.3b,261,pass,True,1,1,
baseline,deepseek-coder:1.3b,262,pass,True,1,1,
baseline,deepseek-coder:1.3b,267,pass,True,1,1,
baseline,deepseek-coder:1.3b,270,pass,True,1,1,
baseline,deepseek-coder:1.3b,271,pass,True,1,1,
baseline,deepseek-coder:1.3b,272,pass,True,1,1,
baseline,deepseek-coder:1.3b,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,283,fail_assert,False,,1,assert validate(1234) == True
baseline,deepseek-coder:1.3b,285,fail_assert,False,,1,"assert text_match_two_three(""abbbba"")==(True)"
baseline,deepseek-coder:1.3b,292,pass,True,1,1,
baseline,deepseek-coder:1.3b,295,fail_assert,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,306,fail_assert,False,,1,"assert max_sum_increasing_subseq([1, 101, 2, 3, 100, 4, 5 ], 7, 4, 6) == 11"
baseline,deepseek-coder:1.3b,309,pass,True,1,1,
baseline,deepseek-coder:1.3b,310,fail_assert,False,,1,"assert string_to_tuple(""python 3.0"")==('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')"
baseline,deepseek-coder:1.3b,312,pass,True,1,1,
baseline,deepseek-coder:1.3b,392,error_runtime,False,,1,assert get_max_sum(60) == 106
baseline,deepseek-coder:1.3b,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,399,pass,True,1,1,
baseline,deepseek-coder:1.3b,401,fail_assert,False,,1,"assert add_nested_tuples(((1, 3), (4, 5), (2, 9), (1, 10)), ((6, 7), (3, 9), (1, 1), (7, 3))) == ((7, 10), (7, 14), (3, 10), (8, 13))"
baseline,deepseek-coder:1.3b,405,pass,True,1,1,
baseline,deepseek-coder:1.3b,408,fail_assert,False,,1,"assert k_smallest_pairs([1,3,7],[2,4,6],2)==[[1, 2], [1, 4]]"
baseline,deepseek-coder:1.3b,410,error_runtime,False,,1,"assert min_val(['Python', 3, 2, 4, 5, 'version'])==2"
baseline,deepseek-coder:1.3b,412,pass,True,1,1,
baseline,deepseek-coder:1.3b,414,pass,True,1,1,
baseline,deepseek-coder:1.3b,417,error_runtime,False,,1,"assert group_tuples([('x', 'y'), ('x', 'z'), ('w', 't')]) == [('x', 'y', 'z'), ('w', 't')]"
baseline,deepseek-coder:1.3b,418,pass,True,1,1,
baseline,deepseek-coder:1.3b,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,420,pass,True,1,1,
baseline,deepseek-coder:1.3b,422,pass,True,1,1,
baseline,deepseek-coder:1.3b,429,pass,True,1,1,
baseline,deepseek-coder:1.3b,430,fail_assert,False,,1,"assert parabola_directrix(5,3,2)==-198"
baseline,deepseek-coder:1.3b,431,fail_assert,False,,1,"assert common_element([1,2,3,4,5], [6,7,8,9])==None"
baseline,deepseek-coder:1.3b,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,439,pass,True,1,1,
baseline,deepseek-coder:1.3b,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,453,pass,True,1,1,
baseline,deepseek-coder:1.3b,454,pass,True,1,1,
baseline,deepseek-coder:1.3b,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,457,pass,True,1,1,
baseline,deepseek-coder:1.3b,458,pass,True,1,1,
baseline,deepseek-coder:1.3b,461,fail_assert,False,,1,assert upper_ctr('PYthon') == 1
baseline,deepseek-coder:1.3b,465,pass,True,1,1,
baseline,deepseek-coder:1.3b,474,pass,True,1,1,
baseline,deepseek-coder:1.3b,477,pass,True,1,1,
baseline,deepseek-coder:1.3b,557,pass,True,1,1,
baseline,deepseek-coder:1.3b,560,pass,True,1,1,
baseline,deepseek-coder:1.3b,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,564,error_runtime,False,,1,"assert count_Pairs([1,2,1],3) == 2"
baseline,deepseek-coder:1.3b,567,pass,True,1,1,
baseline,deepseek-coder:1.3b,568,pass,True,1,1,
