strategy,model,task_id,status,pass_1st_round,rounds_to_pass,total_rounds,failed_test
baseline,deepseek-coder:1.3b,3,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,4,pass,True,1,1,
baseline,deepseek-coder:1.3b,92,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,111,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,119,error_runtime,False,,1,"assert search([1,1,2,2,3]) == 3"
baseline,deepseek-coder:1.3b,131,error_runtime,False,,1,"assert reverse_vowels(""Python"") == ""Python"""
baseline,deepseek-coder:1.3b,135,pass,True,1,1,
baseline,deepseek-coder:1.3b,141,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,223,error_runtime,False,,1,"assert is_majority([1, 1, 2, 2], 5, 1) == False"
baseline,deepseek-coder:1.3b,224,pass,True,1,1,
baseline,deepseek-coder:1.3b,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,256,error_runtime,False,,1,assert count_Primes_nums(5) == 2
baseline,deepseek-coder:1.3b,272,fail_assert,False,,1,"assert rear_extract([(1, 'Rash', 21), (2, 'Varsha', 20), (3, 'Kil', 19)]) == [21, 20, 19]"
baseline,deepseek-coder:1.3b,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,281,pass,True,1,1,
baseline,deepseek-coder:1.3b,295,error_runtime,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,307,error_runtime,False,,1,"assert colon_tuplex((""HELLO"", 5, [], True) ,2,50)==(""HELLO"", 5, [50], True)"
baseline,deepseek-coder:1.3b,308,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,413,fail_assert,False,,1,"assert extract_nth_element([('Greyson Fulton', 98, 99), ('Brady Kent', 97, 96), ('Wyatt Knott', 91, 94), ('Beau Turnbull', 94, 98)] ,0)==['Greyson Fulton', 'Brady Kent', 'Wyatt Knott', 'Beau Turnbull']"
baseline,deepseek-coder:1.3b,414,fail_assert,False,,1,"assert overlapping([1,4,5],[1,4,5]) == True"
baseline,deepseek-coder:1.3b,415,fail_assert,False,,1,"assert max_Product([1,2,3,4,7,0,8,4]) == (7,8)"
baseline,deepseek-coder:1.3b,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,428,fail_assert,False,,1,"assert shell_sort([12, 23, 4, 5, 3, 2, 12, 81, 56, 95]) == [2, 3, 4, 5, 12, 12, 23, 56, 81, 95]"
baseline,deepseek-coder:1.3b,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,443,fail_assert,False,,1,"assert largest_neg([1,2,3,-4,-6]) == -6"
baseline,deepseek-coder:1.3b,447,error_runtime,False,,1,"assert cube_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 8, 27, 64, 125, 216, 343, 512, 729, 1000]"
baseline,deepseek-coder:1.3b,452,pass,True,1,1,
baseline,deepseek-coder:1.3b,455,error_runtime,False,,1,assert check_monthnumb_number(5)==True
baseline,deepseek-coder:1.3b,459,pass,True,1,1,
baseline,deepseek-coder:1.3b,463,fail_assert,False,,1,"assert max_subarray_product([1, -2, -3, 0, 7, -8, -2]) == 112"
baseline,deepseek-coder:1.3b,562,fail_assert,False,,1,"assert Find_Max_Length([[1],[1,4],[5,6,7,8]]) == 4"
baseline,deepseek-coder:1.3b,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,577,error_runtime,False,,1,assert last_Digit_Factorial(4) == 4
baseline,deepseek-coder:1.3b,581,error_runtime,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,582,error_runtime,False,,1,assert my_dict({10})==False
baseline,deepseek-coder:1.3b,594,fail_assert,False,,1,"assert diff_even_odd([1,3,5,7,4,1,6,8])==3"
baseline,deepseek-coder:1.3b,605,fail_assert,False,,1,assert prime_num(13)==True
baseline,deepseek-coder:1.3b,617,error_runtime,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,620,error_runtime,False,,1,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
baseline,deepseek-coder:1.3b,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,644,fail_assert,False,,1,"assert reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) == [4, 3, 2, 1, 5, 6]"
baseline,deepseek-coder:1.3b,730,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,744,fail_assert,False,,1,"assert check_none((10, 4, 5, 6, None)) == True"
baseline,deepseek-coder:1.3b,748,fail_assert,False,,1,"assert capital_words_spaces(""PythonProgrammingExamples"") == 'Python Programming Examples'"
baseline,deepseek-coder:1.3b,751,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,772,error_syntax,False,,1,
baseline,deepseek-coder:1.3b,787,fail_assert,False,,1,"assert not text_match_three(""ac"")"
baseline,deepseek-coder:1.3b,798,pass,True,1,1,

strategy,baseline
model,deepseek-coder:1.3b
total_tasks,50
pass@1,0.1800
